Stock Name	Score	Type	Date
NAXS Nordic Access	0,0022198524802050645	Positive	2019-06-01
NAXS Nordic Access	0,001705871999787556	Positive	2019-05-31
NAXS Nordic Access	0,0015806777285540807	Positive	2019-05-30
NAXS Nordic Access	0,0015984867596836594	Positive	2019-05-29
NAXS Nordic Access	0,0017976961999999208	Positive	2019-05-28
NAXS Nordic Access	0,002234502478754008	Positive	2019-05-27
RaySearch Laboratories	0,004722363690888631	Positive	2019-06-03
RaySearch Laboratories	0,004712862362690418	Positive	2019-06-02
RaySearch Laboratories	0,004739969090292728	Positive	2019-06-01
RaySearch Laboratories	0,004827316847789698	Positive	2019-05-31
RaySearch Laboratories	0,0038280104694354833	Positive	2019-05-30
RaySearch Laboratories	0,0032312807361498663	Positive	2019-05-29
RaySearch Laboratories	0,0033107870599197176	Positive	2019-05-28
RaySearch Laboratories	0,00379883297113226	Positive	2019-05-27
SkiStar	0,002007733363294406	Positive	2019-06-03
SkiStar	0,00194505498547759	Positive	2019-06-02
SkiStar	0,002140554911712833	Positive	2019-06-01
SkiStar	0,00262174705631657	Positive	2019-05-31
SkiStar	0,001687960763645302	Positive	2019-05-30
SkiStar	0,0009533400088144184	Positive	2019-05-29
SkiStar	0,0010755709164584903	Positive	2019-05-28
SkiStar	0,0015686476807807992	Positive	2019-05-27
Telia Company	0,0009566672141281263	Negative	2019-05-30
Telia Company	0,0012177048125195933	Negative	2019-05-29
Telia Company	0,001167596463387044	Negative	2019-05-28
Telia Company	0,001134207126381792	Negative	2019-05-27
Nokia	0,0036364708735269202	Negative	2019-06-02
Nokia	0,003147618303862676	Negative	2019-06-01
Nokia	0,0035514775510309127	Negative	2019-05-31
Nokia	0,004425269292864464	Negative	2019-05-30
Nokia	0,004154174918865161	Negative	2019-05-29
Nokia	0,004308283631312304	Negative	2019-05-28
Nokia	0,0038150239558369936	Negative	2019-05-27
ADDvise Group A	0,004164207236215245	Negative	2019-05-31
ADDvise Group A	0,004907729954983009	Negative	2019-05-30
ADDvise Group A	0,004826704954296712	Negative	2019-05-29
ADDvise Group A	0,004770955528184073	Negative	2019-05-28
ADDvise Group A	0,004820383273582807	Negative	2019-05-27
Africa Oil	0,001931919739152077	Positive	2019-05-29
Africa Oil	0,0013055569834949932	Positive	2019-05-28
Africa Oil	0,0015103867159034223	Positive	2019-05-27
Auriant Mining	0,0010111195351456548	Negative	2019-06-02
Auriant Mining	0,0018353226383586163	Negative	2019-06-01
Auriant Mining	0,0010994524494335467	Negative	2019-05-31
Auriant Mining	0,0013549917966234615	Negative	2019-05-30
Auriant Mining	0,0002746611137196542	Negative	2019-05-29
Auriant Mining	0,00012576143004228157	Negative	2019-05-27
Kakel Max	0,005169621118726653	Positive	2019-05-31
Kakel Max	0,005023208922376066	Positive	2019-05-30
Kakel Max	0,0055773288104078445	Positive	2019-05-29
Kakel Max	0,00510853834211511	Positive	2019-05-28
Kakel Max	0,0054296052553107765	Positive	2019-05-27
Sk�nska Energi	0,00047387217744898624	Negative	2019-05-31
Sk�nska Energi	0,0008406551775097526	Negative	2019-05-30
Sk�nska Energi	0,0015015361289962836	Negative	2019-05-29
Igrene	0,005299587881921974	Positive	2019-05-31
Igrene	0,00754004762165994	Positive	2019-05-30
Igrene	0,007506870571038604	Positive	2019-05-29
Igrene	0,0053099657924418064	Positive	2019-05-28
Igrene	0,004011797656813254	Positive	2019-05-27
RLS Global	0,007874341127191209	Positive	2019-06-02
RLS Global	0,008177758209393149	Positive	2019-06-01
RLS Global	0,008442357285579405	Positive	2019-05-31
RLS Global	0,009344042179561196	Positive	2019-05-30
RLS Global	0,007630997236059089	Positive	2019-05-29
RLS Global	0,00633497679434003	Positive	2019-05-28
RLS Global	0,008404638927652641	Positive	2019-05-27
PharmaLundensis	0,00952181078291503	Positive	2019-06-01
PharmaLundensis	0,008592447909502088	Positive	2019-05-31
PharmaLundensis	0,006782072232150771	Positive	2019-05-30
PharmaLundensis	0,008638122818129146	Positive	2019-05-29
PharmaLundensis	0,0069543422090039275	Positive	2019-05-28
PharmaLundensis	0,006995664657616696	Positive	2019-05-27
Railcare	0,005403825924034988	Positive	2019-05-28
Railcare	0,0051106485504482935	Positive	2019-05-27
Glycorex Transplantation	0,004911082696675395	Positive	2019-06-01
Glycorex Transplantation	0,00900941283639578	Positive	2019-05-31
Glycorex Transplantation	0,00728028262432967	Positive	2019-05-30
Glycorex Transplantation	0,007951683901193718	Positive	2019-05-29
Glycorex Transplantation	0,007650022811701351	Positive	2019-05-28
Glycorex Transplantation	0,01103411032171775	Positive	2019-05-27
Torslanda Property	0,0006757348510774142	Negative	2019-06-01
Torslanda Property	0,0003382483386719093	Negative	2019-05-31
Torslanda Property	3,768718618712974e-05	Negative	2019-05-30
Torslanda Property	0,00022566280978186803	Negative	2019-05-29
Torslanda Property	0,0005643691758024927	Negative	2019-05-28
Torslanda Property	0,0003765171175436066	Negative	2019-05-27
Omx Helsi 25	0,0018114163259845828	Negative	2019-05-28
Omx Helsi 25	0,0014565438229697802	Negative	2019-05-27
Omx Helsi 15	0,0006145005810423987	Negative	2019-06-01
Omx Helsi 15	0,0010636631782127148	Negative	2019-05-31
Omx Helsi 15	0,0013935872062015298	Negative	2019-05-30
Omx Helsi 15	0,0016588645198587493	Negative	2019-05-29
Omx Helsi 15	0,0018058821238778888	Negative	2019-05-28
Omx Helsi 15	0,0014269753442222033	Negative	2019-05-27
Omx Helsi All	0,0012849160622649958	Negative	2019-05-30
Omx Helsi All	0,0015038532920126357	Negative	2019-05-29
Omx Helsi All	0,0016487814090335728	Negative	2019-05-28
Omx Helsi All	0,0013075152362247433	Negative	2019-05-27
Omx Helsi Large Cap	0,0010715095780421402	Negative	2019-05-31
Omx Helsi Large Cap	0,0014195145845108392	Negative	2019-05-30
Omx Helsi Large Cap	0,001655541517965653	Negative	2019-05-29
Omx Helsi Large Cap	0,0017996852754075254	Negative	2019-05-28
Omx Helsi Large Cap	0,0014488477047736037	Negative	2019-05-27
Omx Helsi Services	0,0022963473206764062	Negative	2019-05-29
Omx Helsi Services	0,002421592840013198	Negative	2019-05-28
Omx Helsi Services	0,0020133609563666166	Negative	2019-05-27
Kesko B	0,0026491541486909354	Negative	2019-05-27
Sanoma	0,0018636585869673539	Negative	2019-05-30
Sanoma	0,0023757502072374592	Negative	2019-05-29
Sanoma	0,0027722233308805633	Negative	2019-05-28
Sanoma	0,002285062551908079	Negative	2019-05-27
Cantargia	0,004160487422758097	Positive	2019-06-02
Cantargia	0,0034601348151160893	Positive	2019-06-01
Cantargia	0,0034052742011008164	Positive	2019-05-31
Cantargia	0,002802072560175617	Positive	2019-05-30
Cantargia	0,002742214999233994	Positive	2019-05-29
Cantargia	0,00220175732530703	Positive	2019-05-28
Cantargia	0,0014252183424745546	Positive	2019-05-27
Gaming Corps	0,010072791547967808	Positive	2019-06-03
Gaming Corps	0,010342275840621973	Positive	2019-06-02
Gaming Corps	0,00783176726954482	Positive	2019-06-01
Gaming Corps	0,005749034002842213	Positive	2019-05-31
Gaming Corps	0,006292807090647057	Positive	2019-05-30
Gaming Corps	0,005484503381036232	Positive	2019-05-29
Gaming Corps	0,005721611975277208	Positive	2019-05-28
Gaming Corps	0,006085027151138012	Positive	2019-05-27
Scibase	0,005087202453936568	Positive	2019-06-02
Scibase	0,0063844848368761475	Positive	2019-06-01
Scibase	0,005853859813105489	Positive	2019-05-31
Scibase	0,0071750241774554135	Positive	2019-05-30
Scibase	0,006543205059203472	Positive	2019-05-29
Scibase	0,005538693616209067	Positive	2019-05-28
Scibase	0,005942982908859862	Positive	2019-05-27
IVISYS	0,0026932293452033296	Negative	2019-06-04
IVISYS	0,0027650239111662867	Negative	2019-06-03
IVISYS	0,002901779084381606	Negative	2019-06-02
IVISYS	0,0025771278617061633	Negative	2019-06-01
IVISYS	0,003544815727187345	Negative	2019-05-31
IVISYS	0,002793753495903384	Negative	2019-05-30
IVISYS	0,0034372767200786525	Negative	2019-05-29
IVISYS	0,0038070477386583645	Negative	2019-05-28
IVISYS	0,004305794463249524	Negative	2019-05-27
Sotkamo Silver Oyj	0,004081620151424659	Negative	2019-05-27
CapMan	0,002478875063498087	Negative	2019-06-02
CapMan	0,0025146947359906413	Negative	2019-06-01
CapMan	0,001825379561706364	Negative	2019-05-31
CapMan	0,0015581122522558832	Negative	2019-05-30
CapMan	0,0013090264948715236	Negative	2019-05-29
CapMan	0,0013786584028279147	Negative	2019-05-28
CapMan	0,0012024826597106797	Negative	2019-05-27
Uutechnic	0,002892477079669886	Positive	2019-06-01
Uutechnic	0,0036162328307376423	Positive	2019-05-31
Uutechnic	0,0031040658782734987	Positive	2019-05-30
Uutechnic	0,0035210103729239606	Positive	2019-05-29
Uutechnic	0,0034294437680713052	Positive	2019-05-28
Uutechnic	0,0033894557534890346	Positive	2019-05-27
Tulikivi	0,004395054310947444	Positive	2019-05-27
OB Oslo 25 GI	0,00036844609969099995	Positive	2019-06-02
OB Oslo 25 GI	0,00041282410894671884	Positive	2019-06-01
OB Oslo 25 GI	0,00015917504820861517	Positive	2019-05-31
OB Oslo Technology	0,0005765315685903882	Positive	2019-05-27
Nordic Semiconductor	0,0023194944038361642	Positive	2019-05-30
Nordic Semiconductor	0,0023577804440528816	Positive	2019-05-29
Nordic Semiconductor	0,002712582139275166	Positive	2019-05-28
Nordic Semiconductor	0,0025157496999825835	Positive	2019-05-27
Nuevolution	0,01958180129218623	Positive	2019-05-29
Nuevolution	0,019186331878509266	Positive	2019-05-28
Nuevolution	0,018969375491976415	Positive	2019-05-27
Orkla	0,001816125917115441	Positive	2019-05-31
Orkla	0,0017132897679856818	Positive	2019-05-30
Orkla	0,0016787211556239523	Positive	2019-05-29
Orkla	0,002202518992628688	Positive	2019-05-28
Orkla	0,0021586947209766283	Positive	2019-05-27
ISS	0,0013762224162048309	Positive	2019-06-02
ISS	0,0015457564219563125	Positive	2019-06-01
ISS	0,0005723639805876868	Positive	2019-05-31
ISS	9,22136747402158e-05	Positive	2019-05-30
Sj�strand Coffee	0,0025229470908828544	Negative	2019-05-31
Sj�strand Coffee	0,00015346892134260326	Negative	2019-05-30
Humana	0,005700206001328034	Negative	2019-05-28
Humana	0,005209861885768996	Negative	2019-05-27
Xintela	0,006712105189701223	Negative	2019-05-31
Xintela	0,006681989374705322	Negative	2019-05-30
Xintela	0,006349821566128511	Negative	2019-05-29
Xintela	0,005258014474620265	Negative	2019-05-28
Xintela	0,004715079638015762	Negative	2019-05-27
AKVA Group	0,0015849178806512931	Positive	2019-05-30
AKVA Group	0,0017419579607480529	Positive	2019-05-29
AKVA Group	0,0018261487646512586	Positive	2019-05-28
AKVA Group	0,0018523900103352142	Positive	2019-05-27
