Stock name,Signal,Certainty,Datetime,Algorithm name
Byggmax,buy,0.0022221281005949667,2019-05-22,sma_50_200
Stock name,Signal,Certainty,Datetime,Algorithm name
Qliro Group,buy,0.0017680655525458278,2019-05-27,sma_50_200
Stock name,Signal,Certainty,Datetime,Algorithm name
Duni,buy,0.0008679836075684566,2019-05-22,sma_50_200
Stock name,Signal,Certainty,Datetime,Algorithm name
Duroc,sell,-0.0006675442998788084,2019-05-27,sma_50_200
Stock name,Signal,Certainty,Datetime,Algorithm name
Elanders,sell,-0.0007786470880125629,2019-05-29,sma_50_200
Stock name,Signal,Certainty,Datetime,Algorithm name
Electra Gruppen,sell,-0.0007971834142844747,2019-05-28,sma_50_200
Stock name,Signal,Certainty,Datetime,Algorithm name
Havsfrun Investment,sell,-0.0009713164827677145,2019-05-23,sma_50_200
Stock name,Signal,Certainty,Datetime,Algorithm name
Image Systems,buy,0.002769060224978137,2019-05-29,sma_50_200
Stock name,Signal,Certainty,Datetime,Algorithm name
NAXS Nordic Access,buy,0.00047974760675706385,2019-05-23,sma_50_200
Stock name,Signal,Certainty,Datetime,Algorithm name
RaySearch Laboratories,buy,0.0023611774574499034,2019-05-23,sma_50_200
Stock name,Signal,Certainty,Datetime,Algorithm name
SkiStar,buy,0.0010038663444322804,2019-05-23,sma_50_200
Stock name,Signal,Certainty,Datetime,Algorithm name
Telia Company,sell,-0.00047833357058257864,2019-05-29,sma_50_200
Stock name,Signal,Certainty,Datetime,Algorithm name
Nokia,sell,-0.0018182334330827388,2019-05-24,sma_50_200
Stock name,Signal,Certainty,Datetime,Algorithm name
ADDvise Group A,sell,-0.0020821006093652006,2019-05-28,sma_50_200
Stock name,Signal,Certainty,Datetime,Algorithm name
Africa Oil,buy,0.0009659595691375866,2019-05-31,sma_50_200
Stock name,Signal,Certainty,Datetime,Algorithm name
Auriant Mining,sell,-0.0005055597245006149,2019-05-24,sma_50_200
Stock name,Signal,Certainty,Datetime,Algorithm name
Kakel Max,buy,0.002584804802793883,2019-05-28,sma_50_200
Stock name,Signal,Certainty,Datetime,Algorithm name
Skånska Energi,sell,-0.00023693608429053992,2019-05-28,sma_50_200
Stock name,Signal,Certainty,Datetime,Algorithm name
Igrene,buy,0.002649787739217313,2019-05-28,sma_50_200
Stock name,Signal,Certainty,Datetime,Algorithm name
RLS Global,buy,0.00393715021995189,2019-05-24,sma_50_200
Stock name,Signal,Certainty,Datetime,Algorithm name
TiksPac,sell,-0.0017736246180386495,2019-05-21,sma_50_200
Stock name,Signal,Certainty,Datetime,Algorithm name
PharmaLundensis,buy,0.004760869421207126,2019-05-27,sma_50_200
Stock name,Signal,Certainty,Datetime,Algorithm name
Railcare,buy,0.002701906387081232,2019-06-03,sma_50_200
Stock name,Signal,Certainty,Datetime,Algorithm name
Glycorex Transplantation,buy,0.0024555364129705826,2019-05-27,sma_50_200
Stock name,Signal,Certainty,Datetime,Algorithm name
Torslanda Property,sell,-0.00033786741268237996,2019-05-27,sma_50_200
Stock name,Signal,Certainty,Datetime,Algorithm name
Omx Helsi 25,sell,-0.0009057079153396153,2019-06-03,sma_50_200
Stock name,Signal,Certainty,Datetime,Algorithm name
Omx Helsi 15,sell,-0.00030725028085298867,2019-05-27,sma_50_200
Stock name,Signal,Certainty,Datetime,Algorithm name
Omx Helsi All,sell,-0.0006424579427408705,2019-05-29,sma_50_200
Stock name,Signal,Certainty,Datetime,Algorithm name
Omx Helsi Large Cap,sell,-0.0005357547377613514,2019-05-28,sma_50_200
Stock name,Signal,Certainty,Datetime,Algorithm name
Omx Helsi Services,sell,-0.0011481731557914099,2019-05-31,sma_50_200
Stock name,Signal,Certainty,Datetime,Algorithm name
